Country,Year,"Death rates per 100,000",GDP per capita,Population,Continent,,
Myanmar,2010,178.3,3773,50600827,Asia,,
Myanmar,2015,166.4,5021,52680724,Asia,,
Namibia,2000,306.7,5971.81,1794583,Africa,,
Namibia,2005,258.4,6807.58,1938316,Africa,,
Namibia,2010,181.3,7905.54,2118877,Africa,,
Namibia,2015,154.9,9462,2314901,Africa,,
Nepal,2000,217.2,1676.75,23941099,Asia,,
Nepal,2005,210.5,1836.31,25744500,Asia,,
Nepal,2010,209.6,2152.27,27013207,Asia,,
Nepal,2015,197.2,2455,27015033,Asia,,
Netherlands,2000,37.2,37899.95,318504,Europe,,
Netherlands,2005,29.9,40679.49,318504,Europe,,
Netherlands,2010,25.5,43812.35,318504,Europe,,
Netherlands,2015,24,44869,318504,Europe,,
New Zealand,2000,16.3,26823.02,3858992,Oceania,,
New Zealand,2005,13.2,30270.25,4135353,Oceania,,
New Zealand,2010,9.2,31586.09,4370060,Oceania,,
New Zealand,2015,9,33696,4614527,Oceania,,
Nicaragua,2000,73,2858.53,5069310,North America,,
Nicaragua,2005,72.8,3370.78,5438692,North America,,
Nicaragua,2010,64.6,3916.97,5824058,North America,,
Nicaragua,2015,59.8,4866,6223234,North America,,
Niger,2000,278.1,693.38,11331561,Africa,,
Niger,2005,257.7,757.24,13624474,Africa,,
Niger,2010,245.2,810.16,16464025,Africa,,
Niger,2015,236.8,913,20001663,Africa,,
Nigeria,2000,241.8,2144.83,122283853,Africa,,
Nigeria,2005,213.2,3347.82,138865014,Africa,,
Nigeria,2010,177.9,4904.87,158503203,Africa,,
Nigeria,2015,153.2,5578,181137454,Africa,,
North Korea,2000,202.6,1657.14,22929078,Asia,,
North Korea,2005,197.4,1808.06,23904167,Asia,,
North Korea,2010,184.4,1751.44,24548840,Asia,,
North Korea,2015,169.6,1762.52,25183832,Asia,,
North Macedonia,2000,143.1,8083.79,2034823,Europe,,
North Macedonia,2005,120.4,8984.55,2060280,Europe,,
North Macedonia,2010,107.8,11038.29,2070737,Europe,,
North Macedonia,2015,89.3,12371,2079335,Europe,,
Norway,2000,25.8,54039.96,4499375,Europe,,
Norway,2005,19.5,68108.56,4632359,Europe,,
Norway,2010,17.7,78476.15,4885878,Europe,,
Norway,2015,16.5,82713,5199827,Europe,,
Oman,2000,76.3,24186.37,2267973,Asia,,
Oman,2005,70.2,30392.56,2511254,Asia,,
Oman,2010,71.5,46182.16,3041435,Asia,,
Oman,2015,65.1,38738,4267341,Asia,,
Pakistan,2000,281.6,3154.51,142343583,Asia,,
Pakistan,2005,262.1,3883.93,160304007,Asia,,
Pakistan,2010,236.3,4354.27,179424643,Asia,,
Pakistan,2015,227.9,5030,199426953,Asia,,
Palestine,2000,53.2,5377.39,3224009,Asia,,
Palestine,2005,52.6,4589.63,3577956,Asia,,
Palestine,2010,58.5,4548.53,4055632,Asia,,
Palestine,2015,61.9,5003,4529160,Asia,,
Panama,2000,49.1,9898.79,3030333,North America,,
Panama,2005,43.7,11389.24,3330222,North America,,
Panama,2010,35.3,15169.12,3642691,North America,,
Panama,2015,32.2,20723,3968490,North America,,
Papua New Guinea,2000,306.4,20723,5847590,Oceania,,
Papua New Guinea,2005,295.8,20723,6494902,Oceania,,
Papua New Guinea,2010,272.2,20723,7310512,Oceania,,
Papua New Guinea,2015,256.8,20723,8107772,Oceania,,
Paraguay,2000,102.2,4896.43,5323202,South America,,
Paraguay,2005,97.4,5922.79,5824095,South America,,
Paraguay,2010,85.2,7139.03,6248017,South America,,
Paraguay,2015,71.7,8539,6688746,South America,,
Peru,2000,97.7,6038.24,26459944,South America,,
Peru,2005,89.9,7091.13,27866140,South America,,
Peru,2010,71.3,9507.78,29027680,South America,,
Peru,2015,61.4,11445,30470739,South America,,
Philippines,2000,142,4033.56,77991757,Asia,,
Philippines,2005,164.1,4721,86326251,Asia,,
Philippines,2010,155,5694.05,93966784,Asia,,
Philippines,2015,142.9,7047,102113206,Asia,,
Poland,2000,86.5,12732.17,38556699,Europe,,
Poland,2005,71.3,15580.94,38368957,Europe,,
Poland,2010,64.3,20608.69,38329784,Europe,,
Poland,2015,53.1,24177,38034076,Europe,,
Portugal,2000,29.3,23372.04,10297117,Europe,,
Portugal,2005,24.7,24377.95,10508494,Europe,,
Portugal,2010,19.5,25463.16,10596055,Europe,,
Portugal,2015,17.8,24915,10368346,Europe,,
Qatar,2000,90.7,45788.12,592467,Asia,,
Qatar,2005,77.3,76808.42,865410,Asia,,
Qatar,2010,57,134802.78,1856329,Asia,,
Qatar,2015,51.9,156029,2565708,Asia,,
Romania,2000,127.9,7089.95,22137423,Europe,,
Romania,2005,101.7,11313.82,21417287,Europe,,
Romania,2010,88.9,16377.33,20471860,Europe,,
Romania,2015,74.3,19320,19925182,Europe,,
Russia,2000,119.6,10552.88,146404890,Europe,,
Russia,2005,106.1,16243.1,143672125,Europe,,
Russia,2010,82,21737.38,143479273,Europe,,
